952,ديني,"ما هي السورة التي تسمى ""الفاضحة""؟",سورة التوبة
953,ديني,"من هو النبي الذي بشر بالنبي محمد باسم ""أحمد""؟",عيسى عليه السلام
954,ديني,"ما هو المسجد الذي ذكر في القرآن أنه ""أسس على التقوى""؟",مسجد قباء
955,ديني,"من هو الصحابي الذي قتل ""مسيلمة الكذاب""؟",وحشي بن حرب
956,ديني,"ما هي السورة التي تسمى ""بني إسرائيل""؟",سورة الإسراء
957,ديني,من هو الصحابي الذي كان آخر من مات من الصحابة؟,أبو الطفيل عامر بن واثلة
958,ديني,كم عدد السنوات التي قضاها النبي في مكة بعد البعثة؟,13 سنة
959,ديني,"من هي الصحابية التي لقبت بـ ""الخنساء""؟",تماضر بنت عمرو
960,ديني,"ما هو ""يوم الفرقان""؟",يوم غزوة بدر
16,علوم,ما هو الكوكب الأقرب للشمس؟,عطارد
17,علوم,كم عدد ألوان قوس قزح؟,7 ألوان
18,علوم,"ما هو الحيوان الذي يُلقب بـ ""سفينة الصحراء""؟",الجمل
19,علوم,ما هو العضو المسؤول عن التنفس في جسم الإنسان؟,الرئتين
20,علوم,درجة غليان الماء هي؟,100 درجة مئوية
41,علوم,ما هو الغاز الأكثر وفرة في الغلاف الجوي؟,النيتروجين
42,علوم,ما هو الحيوان الذي ينام وإحدى عينيه مفتوحة؟,الدلفين
43,علوم,ما هو الجزء الملون في عين الإنسان؟,القزحية
44,علوم,كم عدد قلوب الأخطبوط؟,3 قلوب
45,علوم,ما هو الفيتامين الذي يأخذه الجسم من أشعة الشمس؟,فيتامين D
46,علوم,ما هو أسرع طائر في العالم؟,الشاهين
47,علوم,ما هو المعدن السائل في درجة الحرارة العادية؟,الزئبق
48,علوم,كم عدد عظام الجمجمة في الإنسان؟,22 عظمة
49,علوم,ما هو الحيوان الذي لا يشرب الماء طوال حياته؟,الجرذ الكنغري
50,علوم,ما هي وحدة قياس الصوت؟,الديسيبل
71,علوم,"ما هو العنصر الكيميائي الذي رمزه ""Au""؟",الذهب
72,علوم,كم يبلغ طول الأمعاء الدقيقة في الإنسان؟,حوالي 6-7 أمتار
73,علوم,ما هو الكوكب الذي يدور حول نفسه بعكس دوران الأرض؟,الزهرة
74,علوم,ما هو الحيوان الذي يستخرج منه المسك الأصلي؟,غزال المسك
75,علوم,ما هو الغاز المسبب الرئيسي لظاهرة الاحتباس الحراري؟,ثاني أكسيد الكربون
116,علوم,ما هو العنصر الذي نرمز له بالرمز (O)؟,الأكسجين
117,علوم,كم عدد أرجل العنكبوت؟,8 أرجل
118,علوم,ما هو أسرع حيوان بري في العالم؟,الفهد (الشيتا)
119,علوم,ما هو أكبر كوكب في المجموعة الشمسية؟,المشتري
120,علوم,مم يتكون السحاب؟,من قطرات الماء أو الثلج
141,علوم,ما هو الجزء في النبات المسؤول عن عملية البناء الضوئي؟,الأوراق (البلاستيدات الخضراء)
142,علوم,ما هو الحيوان الذي يمتلك أكبر دماغ نسبة لجسمه؟,النملة
143,علوم,كم عدد فقرات العمود الفقري عند الإنسان؟,33 فقرة
144,علوم,ما هو الغاز الذي يستخدم في إطفاء الحرائق؟,ثاني أكسيد الكربون
145,علوم,"ما هي فصيلة الدم التي تسمى ""المعطي العام""؟",O- (O سالب)
146,علوم,ما هو المعدن الذي يعتبر أفضل موصل للكهرباء؟,الفضة
147,علوم,كم تستغرق أشعة الشمس للوصول إلى الأرض؟,8 دقائق و 20 ثانية تقريباً
148,علوم,ما هو الطائر الذي يضع أكبر بيضة في العالم؟,النعامة
149,علوم,ما هي المادة المسؤولة عن تلون الدم باللون الأحمر؟,الهيموجلوبين
150,علوم,أين تقع الغدة الدرقية في جسم الإنسان؟,في الرقبة
171,علوم,ما هو الحيوان الذي يموت إذا قطع ذيله؟,الحصان
172,علوم,ما هو العنصر الكيميائي السائل الوحيد من اللا فلزات؟,البروم
173,علوم,ما هو الجزء الوحيد في جسم الإنسان الذي لا يصله الدم؟,قرنية العين
174,علوم,كم عدد قلوب دودة الأرض؟,5 أزواج من القلوب (10 قلوب)
175,علوم,ما هو أثقل حيوان وزناً على اليابسة؟,الفيل الأفريقي
216,علوم,"ما هو الحيوان الذي يسمى ""ملك الغابة""؟",الأسد
217,علوم,مم تتكون الأسنان؟,من الكالسيوم
218,علوم,ما هو الغاز الذي نتنفسه؟,الأكسجين
219,علوم,كم عدد أصابع يد الإنسان الطبيعي؟,5 أصابع
220,علوم,ما هو الشيء الذي ينبض في جسم الإنسان؟,القلب
241,علوم,ما هو أذكى حيوان بحري؟,الدلفين
242,علوم,كم عدد غرف القلب في جسم الإنسان؟,4 غرف (أذينان وبطينان)
243,علوم,ما هو المعدن الذي يوجد في الحالة السائلة؟,الزئبق
244,علوم,"ما هو الكوكب الذي يسمى ""نجمة الصباح""؟",الزهرة
245,علوم,ما هو الحيوان الذي لا يمتلك معدة؟,خلد الماء / الفراشة / الحصان (ليس لديه مرارة)
246,علوم,ما هو العضو الذي يستهلك 40% من أكسجين الدم؟,المخ
247,علوم,ما هو الفيتامين المسؤول عن تجلط الدم؟,فيتامين K
248,علوم,كم عدد العضلات في جسم الإنسان تقريباً؟,أكثر من 600 عضلة
249,علوم,ما هي المادة التي تشكل 80% من دماغ الإنسان؟,الماء
250,علوم,ما هو أسرع شيء في الكون؟,الضوء
271,علوم,ما هو الحيوان الذي دمه أزرق؟,الأخطبوط
272,علوم,ما هو العنصر الكيميائي الأكثر كثافة؟,الأوزميوم
273,علوم,كم يبلغ طول الحمض النووي (DNA) في خلية واحدة إذا فرد؟,حوالي 2 متر
274,علوم,ما هو الحيوان الذي يستطيع رؤية الأشعة فوق البنفسجية؟,النحل / الطيور
275,علوم,ما هي أقدم شجرة في العالم؟,شجرة الصنوبر المعمرة (بريثل)
316,علوم,ما هو الحيوان الذي له خرطوم طويل؟,الفيل
317,علوم,ما هو الشيء الذي نتنفسه لكي نعيش؟,الهواء (الأكسجين)
318,علوم,كم عدد أرجل النملة؟,6 أرجل
319,علوم,ما هو مصدر الضوء الرئيسي على الأرض؟,الشمس
320,علوم,درجة تجمد الماء هي؟,صفر مئوية
341,علوم,ما هو العضو المسؤول عن تصفية الدم في الجسم؟,الكلية
342,علوم,ما هو الغاز الذي تخرجه النباتات أثناء النهار؟,الأكسجين
343,علوم,"ما هو الحيوان الذي يعتبر ""أثقل حيوان وزناً"" في العالم؟",الحوت الأزرق
344,علوم,ما هو الكوكب الذي يشتهر بحلقاته الملونة؟,زحل
345,علوم,كم عدد أسنان الإنسان البالغ؟,32 سناً
346,علوم,ما هو العنصر الذي يرمز له بالرمز (Na)؟,الصوديوم
347,علوم,ما هو الطائر الذي يستطيع الطيران للخلف؟,الطائر الطنان
348,علوم,ما هي المادة الأقسى في جسم الإنسان؟,مينا الأسنان
349,علوم,كم يستغرق القمر للدوران حول الأرض؟,27.3 يوماً تقريباً
350,علوم,ما هو المعدن السائل الوحيد؟,الزئبق
371,علوم,ما هو الحيوان الذي لا يشرب الماء وإذا شربه مات؟,الجرذ الكنغري (يصنع الماء داخلياً)
372,علوم,ما هو العنصر الكيميائي الذي يستخدم في صناعة القنبلة الذرية؟,اليورانيوم
373,علوم,ما هو العضو الذي ينمو مرة أخرى إذا قطع جزء منه؟,الكبد
374,علوم,كم عدد قلوب الدودة؟,ليس لها قلب بالمفهوم المعروف (أوعية دموية نابضة)
375,علوم,"ما هو الفيتامين الذي يسبب نقصه مرض ""الاسقربوط""؟",فيتامين C
416,علوم,ما هو الحيوان الذي يمتلك ذاكرة قوية جداً؟,الفيل
417,علوم,ما هو الغاز الذي يملأ البالونات لتطير؟,الهيليوم
418,علوم,كم عدد أرجل العنكبوت؟,8 أرجل
419,علوم,ما هو الكوكب الذي نعيش عليه؟,الأرض
420,علوم,ما هي المادة التي يتكون منها العسل؟,رحيق الأزهار
441,علوم,ما هو الحيوان الذي ينام واقفاً؟,الحصان
442,علوم,ما هو الجزء في الخلية المسؤول عن إنتاج الطاقة؟,الميتوكوندريا
443,علوم,ما هو العنصر الكيميائي الذي رمزه (Fe)؟,الحديد
444,علوم,كم عدد كواكب المجموعة الشمسية؟,8 كواكب
445,علوم,ما هو الحيوان الذي يغير لونه حسب المكان؟,الحرباء
446,علوم,ما هو الفيتامين الذي يقي من مرض الكساح؟,فيتامين D
447,علوم,ما هو أسرع طائر في الانقضاض؟,الشاهين (الصقر الجوال)
448,علوم,ما هو العضو الذي يتحكم في توازن الجسم؟,الأذن الداخلية (والمخيخ)
449,علوم,ما هي المادة التي تعطي النبات اللون الأخضر؟,الكلوروفيل
450,علوم,كم يبلغ عدد دقات قلب الشخص البالغ في الدقيقة (المعدل الطبيعي)؟,60 - 100 دقة
471,علوم,ما هو الحيوان الذي يستطيع أن يرى أذنيه؟,لا يوجد (سؤال خادع/ أو الزرافة بلسانها) - الإجابة العلمية: لا يرى أذنيه مباشرة
472,علوم,ما هو العنصر الكيميائي الذي يستخدم في البطاريات القابلة للشحن (مثل الهواتف)؟,الليثيوم
473,علوم,ما هو العضو الذي لا يشعر بالألم في جسم الإنسان (لعدم وجود مستقبلات ألم)؟,الدماغ (المخ)
474,علوم,كم عدد عظام القفص الصدري؟,24 ضلعاً (12 زوجاً)
475,علوم,ما هو الكائن الحي الذي لا يموت (بيولوجياً)؟,قنديل البحر الخالد (Turritopsis dohrnii)
516,علوم,"ما هو الحيوان الذي يسمى ""سفينة الصحراء""؟",الجمل
517,علوم,ما هو اللون الذي ينتج عن خلط الأزرق والأصفر؟,الأخضر
518,علوم,ما هو العضو الذي يضخ الدم في الجسم؟,القلب
519,علوم,كم عدد أيام السنة الكبيسة؟,366 يوماً
520,علوم,ما هي الحالة التي يكون عليها الماء عند الغليان؟,الحالة الغازية (بخار)
541,علوم,ما هو الغاز الذي يستخدم في التخدير الطبي (غاز الضحك)؟,أكسيد النيتروز
542,علوم,ما هو الحيوان الذي يستطيع تدوير رأسه 270 درجة؟,البومة
543,علوم,ما هو العنصر الكيميائي الذي رمزه (K)؟,البوتاسيوم
544,علوم,كم عدد عظام الجمجمة في الإنسان؟,22 عظمة
545,علوم,"ما هو الكوكب الذي يسمى ""الكوكب الأحمر""؟",المريخ
546,علوم,ما هو الحيوان الذي ليس له صوت؟,الزرافة
547,علوم,ما هي المادة التي يتكون منها ظفر الإنسان؟,الكيراتين
548,علوم,كم يبلغ طول الأمعاء الدقيقة في الإنسان؟,حوالي 6-7 أمتار
549,علوم,ما هو الطائر الذي يضع بيضه في عش غيره؟,الوقواق
550,علوم,ما هو المعدن الأغلى من الذهب؟,البلاتين (أحياناً) / الروديوم
571,علوم,ما هو الحيوان الذي يموت إذا فتح فمه لأكثر من دقيقة؟,الضفدع (لأنه يتنفس وفمه مغلق أحياناً) - (معلومة شائعة: الضفدع لا يستطيع التنفس وفمه مفتوح لفترة طويلة)
572,علوم,ما هو العنصر الكيميائي السائل الوحيد من اللا فلزات؟,البروم
573,علوم,ما هو العضو الذي يستهلك 20% من طاقة الجسم؟,الدماغ
574,علوم,كم عدد قلوب الأخطبوط؟,3 قلوب
575,علوم,"ما هو الفيتامين الذي يسمى ""فيتامين الشمس""؟",فيتامين D
616,علوم,ما هو الحيوان الذي يتحمل العطش أكثر من الجمل؟,الزرافة (أو العقرب)
617,علوم,ما هو الغاز الذي نخرجه عند الزفير؟,ثاني أكسيد الكربون
618,علوم,كم عدد أرجل الذبابة؟,6 أرجل
619,علوم,ما هو المعدن الذي يجذبه المغناطيس؟,الحديد
620,علوم,ما هو لون دم الأخطبوط؟,أزرق
641,علوم,ما هو الحيوان الذي لا يمتلك معدة؟,خلد الماء
642,علوم,ما هو الجزء في العين المسؤول عن تجميع الضوء؟,العدسة
643,علوم,ما هو العنصر الكيميائي الذي رمزه (Ca)؟,الكالسيوم
644,علوم,كم عدد كواكب المجموعة الشمسية؟,8 كواكب
645,علوم,ما هو الحيوان الذي يمتلك 3 قلوب؟,الأخطبوط
646,علوم,ما هو الفيتامين الذي يوجد بكثرة في البرتقال؟,فيتامين C
647,علوم,ما هو أسرع حيوان بحري؟,سمكة الزعنفة الشراعية (Sailfish)
648,علوم,ما هو العضو الذي يفرز الأنسولين؟,البنكرياس
649,علوم,ما هي المادة التي تشكل الهيكل الخارجي للحشرات؟,الكيتين
650,علوم,كم يبلغ عدد عظام القفص الصدري؟,24 ضلعاً
671,علوم,ما هو الحيوان الذي يستطيع العيش دون رأس لمدة أسبوع؟,الصرصور
672,علوم,ما هو العنصر الكيميائي الذي يستخدم في صناعة الزجاج؟,السيليكون (الرمل)
673,علوم,ما هو العضو الذي يستهلك أكبر كمية من الطاقة في الجسم؟,الدماغ
674,علوم,كم عدد فقرات الرقبة عند الزرافة؟,7 فقرات (مثل الإنسان)
675,علوم,ما هو الفيتامين الذي يساعد على تخثر الدم؟,فيتامين K
716,علوم,"ما هو الحيوان الذي يسمى ""ملك الغابة""؟",الأسد
717,علوم,ما هو الغاز الضروري للتنفس؟,الأكسجين
718,علوم,كم عدد ألوان قوس قزح؟,7 ألوان
719,علوم,ما هو الشيء الذي ينبض بلا توقف في جسم الإنسان؟,القلب
720,علوم,ما هي درجة غليان الماء؟,100 درجة مئوية
741,علوم,ما هو الحيوان الذي لا يشرب الماء؟,الجرذ الكنغري
742,علوم,ما هو الجزء المسؤول عن التوازن في جسم الإنسان؟,المخيخ (والأذن الداخلية)
743,علوم,ما هو العنصر الكيميائي الذي رمزه (H)؟,الهيدروجين
744,علوم,كم عدد كواكب المجموعة الشمسية؟,8 كواكب
745,علوم,ما هو الحيوان الذي يغير لونه؟,الحرباء
746,علوم,ما هو الفيتامين الذي نحصل عليه من الشمس؟,فيتامين D
747,علوم,ما هو أسرع حيوان بري؟,الفهد (الشيتا)
748,علوم,ما هو العضو الذي يصنع الأنسولين؟,البنكرياس
749,علوم,ما هي المادة التي تعطي الدم لونه الأحمر؟,الهيموجلوبين
750,علوم,كم يبلغ عدد عظام الإنسان البالغ؟,206 عظمة
771,علوم,ما هو الحيوان الذي يستطيع العيش دون رأس لمدة أسبوع؟,الصرصور
772,علوم,ما هو العنصر الكيميائي السائل الوحيد من اللا فلزات؟,البروم
773,علوم,ما هو العضو الذي يستهلك أكبر كمية من الطاقة في الجسم؟,الدماغ
774,علوم,كم عدد فقرات الرقبة عند الزرافة؟,7 فقرات
775,علوم,ما هو الفيتامين الذي يساعد على تخثر الدم؟,فيتامين K
816,علوم,"ما هو الحيوان الذي يعتبر ""ملك الغابة""؟",الأسد
817,علوم,ما هو الغاز الذي نتنفسه؟,الأكسجين
818,علوم,كم عدد ألوان قوس قزح؟,7 ألوان
819,علوم,ما هو الشيء الذي ينبض في جسم الإنسان؟,القلب
820,علوم,درجة تجمد الماء هي؟,صفر مئوية
841,علوم,ما هو الحيوان الذي لا يشرب الماء؟,الجرذ الكنغري
842,علوم,ما هو الجزء المسؤول عن التوازن في جسم الإنسان؟,المخيخ
843,علوم,ما هو العنصر الكيميائي الذي رمزه (Fe)؟,الحديد
844,علوم,كم عدد كواكب المجموعة الشمسية؟,8 كواكب
845,علوم,ما هو الحيوان الذي يغير لونه؟,الحرباء
846,علوم,ما هو الفيتامين الذي نحصل عليه من الشمس؟,فيتامين D
847,علوم,ما هو أسرع حيوان بري؟,الفهد (الشيتا)
848,علوم,ما هو العضو الذي يفرز الأنسولين؟,البنكرياس
849,علوم,ما هي المادة التي تعطي النبات اللون الأخضر؟,الكلوروفيل
850,علوم,كم يبلغ عدد عظام الإنسان البالغ؟,206 عظمة
871,علوم,ما هو الحيوان الذي يستطيع العيش دون رأس لمدة أسبوع؟,الصرصور
872,علوم,ما هو العنصر الكيميائي السائل الوحيد من اللا فلزات؟,البروم
873,علوم,ما هو العضو الذي يستهلك أكبر كمية من الطاقة في الجسم؟,الدماغ
874,علوم,كم عدد فقرات الرقبة عند الزرافة؟,7 فقرات
875,علوم,ما هو الفيتامين الذي يساعد على تخثر الدم؟,فيتامين K
916,علوم,"ما هو الحيوان الذي يسمى ""سفينة الصحراء""؟",الجمل
917,علوم,ما هو الغاز الذي يمتصه النبات لصنع غذائه؟,ثاني أكسيد الكربون
918,علوم,كم عدد أرجل العنكبوت؟,8 أرجل
919,علوم,ما هو العضو الذي يتحكم في جميع أجزاء الجسم؟,المخ (الدماغ)
920,علوم,درجة غليان الماء هي؟,100 درجة مئوية
941,علوم,ما هو الحيوان الذي لا يمتلك معدة؟,خلد الماء / الفراشة
942,علوم,ما هو الجزء المسؤول عن الإبصار في العين؟,الشبكية
943,علوم,ما هو العنصر الكيميائي الذي رمزه (O)؟,الأكسجين
944,علوم,كم عدد كواكب المجموعة الشمسية؟,8 كواكب
945,علوم,ما هو الحيوان الذي يغير لونه؟,الحرباء
946,علوم,"ما هو الفيتامين الذي يقي من ""العشى الليلي""؟",فيتامين A
947,علوم,ما هو أسرع حيوان بري؟,الفهد (الشيتا)
948,علوم,ما هو العضو الذي يفرز العصارة الصفراوية؟,الكبد
949,علوم,ما هي المادة التي تعطي النبات اللون الأخضر؟,الكلوروفيل
950,علوم,كم يبلغ عدد عظام الجمجمة؟,22 عظمة
971,علوم,ما هو الحيوان الذي يستطيع العيش دون رأس لمدة أسبوع؟,الصرصور
972,علوم,ما هو العنصر الكيميائي السائل الوحيد من اللا فلزات؟,البروم
973,علوم,ما هو العضو الذي يستهلك أكبر كمية من الطاقة في الجسم؟,الدماغ
974,علوم,كم عدد فقرات الرقبة عند الزرافة؟,7 فقرات
975,علوم,ما هو الفيتامين الذي يساعد على تخثر الدم؟,فيتامين K
86,كرة قدم,من هو المنتخب الفائز بكأس العالم 2022؟,الأرجنتين
87,كرة قدم,أين سيقام كأس العالم 2030؟,"المغرب، إسبانيا، البرتغال"
88,كرة قدم,من هو الهداف التاريخي لمنتخب مصر؟,حسام حسن
89,كرة قدم,كم عدد اللاعبين في فريق كرة اليد؟,7 لاعبين
90,كرة قدم,ما هو النادي المصري الفائز ببطولة أفريقيا للأندية أبطال الكؤوس 1986؟,الأهلي
386,كرة قدم,من هو المنتخب الفائز بكأس العالم 2018؟,فرنسا
387,كرة قدم,من هو الهداف التاريخي لكأس العالم؟,ميروسلاف كلوزه (16 هدف)
388,كرة قدم,أين أقيمت أول بطولة كأس عالم؟,الأوروغواي (1930)
389,كرة قدم,ما هو النادي الأكثر فوزاً بدوري أبطال أوروبا؟,ريال مدريد
390,كرة قدم,"من هو اللاعب الملقب بـ ""الظاهرة""؟",رونالدو البرازيلي
486,كرة قدم,من هو اللاعب الذي نطح ماتيرازي في نهائي كأس العالم 2006؟,زين الدين زيدان
487,كرة قدم,"ما هو النادي الذي يلقب بـ ""الشياطين الحمر""؟",مانشستر يونايتد (أو الأهلي المصري)
488,كرة قدم,أين أقيمت كأس العالم 2014؟,البرازيل
489,كرة قدم,من هو الحارس الذي سجل أكثر من 100 هدف في مسيرته؟,روجيريو سيني
490,كرة قدم,ما هي الدولة التي فازت ببطولة أمم أوروبا 2004 (المفاجأة)؟,اليونان
586,كرة قدم,من هو اللاعب الذي فاز بالكرة الذهبية 7 مرات؟,"ليونيل ميسي (حتى 2021، والآن 8 مرات)"
587,كرة قدم,"ما هو النادي الذي يلقب بـ ""السيدة العجوز""؟",يوفنتوس
588,كرة قدم,أين أقيمت أول بطولة كأس عالم؟,الأوروغواي
589,كرة قدم,من هو الهداف التاريخي لمنتخب البرازيل؟,نيمار (تجاوز بيليه)
590,كرة قدم,ما هي الدولة التي اخترعت كرة القدم الحديثة؟,إنجلترا
686,كرة قدم,من هو المنتخب الفائز بكأس العالم 2014؟,ألمانيا
687,كرة قدم,"ما هو النادي الذي يلقب بـ ""المدفعجية""؟",أرسنال
688,كرة قدم,أين أقيمت كأس العالم 2010؟,جنوب أفريقيا
689,كرة قدم,من هو الهداف التاريخي للدوري الإنجليزي الممتاز؟,آلان شيرر (أو هاري كين/روني حسب التحديث) - الإجابة الأدق تاريخياً آلان شيرر
690,كرة قدم,ما هي الدولة التي فازت بأول نسخة لكأس الأمم الأوروبية؟,الاتحاد السوفيتي
786,كرة قدم,من هو المنتخب الفائز بكأس العالم 2014؟,ألمانيا
787,كرة قدم,"ما هو النادي الذي يلقب بـ ""المدفعجية""؟",أرسنال
788,كرة قدم,أين أقيمت كأس العالم 2010؟,جنوب أفريقيا
789,كرة قدم,من هو الهداف التاريخي للدوري الإنجليزي الممتاز؟,آلان شيرر
790,كرة قدم,ما هي الدولة التي فازت بأول نسخة لكأس الأمم الأوروبية؟,الاتحاد السوفيتي
886,كرة قدم,من هو المنتخب الفائز بكأس العالم 2014؟,ألمانيا
887,كرة قدم,"ما هو النادي الذي يلقب بـ ""المدفعجية""؟",أرسنال
888,كرة قدم,أين أقيمت كأس العالم 2010؟,جنوب أفريقيا
889,كرة قدم,من هو الهداف التاريخي للدوري الإنجليزي الممتاز؟,آلان شيرر
890,كرة قدم,ما هي الدولة التي فازت بأول نسخة لكأس الأمم الأوروبية؟,الاتحاد السوفيتي
986,كرة قدم,من هو المنتخب الفائز بكأس العالم 2014؟,ألمانيا
987,كرة قدم,"ما هو النادي الذي يلقب بـ ""المدفعجية""؟",أرسنال
988,كرة قدم,أين أقيمت كأس العالم 2010؟,جنوب أفريقيا
989,كرة قدم,من هو الهداف التاريخي للدوري الإنجليزي الممتاز؟,آلان شيرر
990,كرة قدم,ما هي الدولة التي فازت بأول نسخة لكأس الأمم الأوروبية؟,الاتحاد السوفيتي
186,متنوع,كم عدد لاعبي فريق الكرة الطائرة؟,6 لاعبين
187,متنوع,"من هو اللاعب الملقب بـ ""الجوهرة السوداء""؟",بيليه
188,متنوع,في أي دولة نشأت لعبة التنس الحديثة؟,فرنسا
189,متنوع,ما هو طول ماراثون الجري الرسمي؟,42.195 كيلومتر
190,متنوع,كم عدد القوارير (القطع الخشبية) في لعبة البولينج؟,10 قطع
286,متنوع,كم عدد لاعبي فريق كرة الماء؟,7 لاعبين
287,متنوع,ما هي الدولة التي اخترعت لعبة الجولف؟,اسكتلندا
288,متنوع,"من هو اللاعب الملقب بـ ""البرغوث""؟",ليونيل ميسي
289,متنوع,كم يبلغ ارتفاع شبكة كرة الطائرة للرجال؟,2.43 متر
290,متنوع,في أي عام أقيمت أول دورة ألعاب أولمبية حديثة؟,1896م (أثينا)
91,مصر,ما هي المحافظة المصرية التي تشتهر بصناعة الأثاث؟,دمياط
92,مصر,أين يقع معبد الكرنك؟,الأقصر
93,مصر,ما هو البحر الذي يحد مصر من الشمال؟,البحر المتوسط
94,مصر,من هو عميد الأدب العربي؟,طه حسين
95,مصر,متى تم افتتاح قناة السويس الجديدة؟,2015م
96,مصر,"ما هي المدينة المصرية الملقبة بـ ""المدينة الباسلة""؟",بورسعيد
97,مصر,من هو أول رئيس لجمهورية مصر العربية؟,محمد نجيب
98,مصر,ما هي أكبر بحيرة صناعية في العالم تقع في مصر؟,بحيرة ناصر
99,مصر,ما هي العملة التي كانت تستخدم في مصر قبل الجنيه؟,القرش / البارة
100,مصر,"ما هو النادي الذي يطلق عليه ""الدراويش""؟",الإسماعيلي
191,مصر,أين يقع السد العالي؟,أسوان
192,مصر,"من هو الأديب المصري الذي لقب بـ ""أمير الشعراء""؟",أحمد شوقي
193,مصر,"ما هي المحافظة التي يطلق عليها ""بلد المليون نخلة""؟",الوادي الجديد
194,مصر,من هو بطل حرب أكتوبر 1973؟,الرئيس محمد أنور السادات
195,مصر,أين يوجد طريق الكباش؟,الأقصر
196,مصر,ما هي أشهر أكلة شعبية مصرية؟,الكشري
197,مصر,من هو مؤسس بنك مصر؟,طلعت حرب
198,مصر,ما هي المحافظة التي تقع بها جامعة الأزهر (المقر الرئيسي)؟,القاهرة
199,مصر,متى تم جلاء القوات البريطانية عن مصر؟,1956م
200,مصر,ما هو الاسم الفرعوني لمصر؟,كيميت (الأرض السوداء)
291,مصر,"من هو ملحن النشيد الوطني المصري ""بلادي بلادي""؟",سيد درويش
292,مصر,أين يقع المتحف المصري الكبير؟,الجيزة (بجوار الأهرامات)
293,مصر,ما هي المحافظة التي تشتهر بزراعة المانجو؟,الإسماعيلية
294,مصر,"من هو بطل فيلم ""الناصر صلاح الدين""؟",أحمد مظهر
295,مصر,"ما هي المدينة المصرية الملقبة بـ ""عروس البحر المتوسط""؟",الإسكندرية
296,مصر,من هو أول مصري يحصل على جائزة نوبل؟,الرئيس محمد أنور السادات (للسلام)
297,مصر,ما هو الحي الذي يوجد به مسجد الحسين؟,حي الجمالية
298,مصر,"ما هو النادي المصري الملقب بـ ""الشواكيش""؟",الترسانة
299,مصر,متى تم تحرير سيناء بالكامل (رفع العلم على طابا)؟,1989م (أو 25 أبريل 1982 كعيد تحرير)
300,مصر,ما هي العملة الرسمية لمصر؟,الجنيه المصري
391,مصر,أين يقع هرم زوسر المدرج؟,سقارة
392,مصر,من هو باني قلعة صلاح الدين في القاهرة؟,صلاح الدين الأيوبي
393,مصر,ما هي المحافظة التي تشتهر بصناعة الحلويات (المشبك)؟,دمياط
394,مصر,من هو مؤلف ثلاثية القاهرة (بين القصرين..)؟,نجيب محفوظ
395,مصر,ما هو الحي الذي يوجد به الجامع الأزهر؟,حي الدرب الأحمر (أو الجمالية مجازاً)
396,مصر,متى تم افتتاح برج القاهرة؟,1961م
397,مصر,ما هو البحر الذي يفصل مصر عن السعودية؟,البحر الأحمر
398,مصر,"ما هي المدينة التي تسمى ""عروس الصعيد""؟",المنيا
399,مصر,من هو العالم المصري الذي حصل على جائزة نوبل في السلام؟,محمد أنور السادات
400,مصر,ما هي أكبر بحيرة مالحة في مصر؟,بحيرة المنزلة
491,مصر,من هو باني الهرم الأكبر؟,الملك خوفو
492,مصر,ما هي المحافظة التي تشتهر بصناعة الفخار؟,الفيوم / قنا
493,مصر,أين يقع قصر البارون؟,مصر الجديدة (القاهرة)
494,مصر,"من هو الممثل الملقب بـ ""الزعيم""؟",عادل إمام
495,مصر,ما هو الحي الذي يوجد به مسجد السيدة زينب؟,حي السيدة زينب
496,مصر,متى تم افتتاح مترو الأنفاق في مصر لأول مرة؟,1987م
497,مصر,"ما هي المدينة التي تشتهر بـ ""الحمام الزاجل"" قديماً في مصر؟",شبراخيت (أو دمياط للبريد)
498,مصر,من هو شيخ الأزهر الحالي (2024/2025)؟,الشيخ أحمد الطيب
499,مصر,ما هي أكبر واحة في مصر؟,الخارجة / أو سيوة شهرةً
500,مصر,ما هو الاسم القديم لمدينة الأقصر؟,طيبة
591,مصر,من هو باني الهرم الثاني؟,خفرع
592,مصر,"ما هي المحافظة التي يطلق عليها ""بلد المواويل""؟",سوهاج
593,مصر,أين يقع دير سانت كاترين؟,جنوب سيناء
594,مصر,"من هو الممثل الملقب بـ ""ساحر النساء""؟",رشدي أباظة
595,مصر,ما هو الحي الذي يوجد به مسجد السلطان حسن؟,حي القلعة (الخليفة)
596,مصر,متى تم تأميم قناة السويس؟,1956م
597,مصر,ما هي المدينة التي تشتهر بصناعة الأثاث؟,دمياط
598,مصر,"من هو شيخ الأزهر الراحل الملقب بـ ""إمام الدعاة""؟",الشيخ محمد متولي الشعراوي
599,مصر,ما هي أكبر جزيرة في نهر النيل بالقاهرة؟,جزيرة الزمالك (الجزيرة)
600,مصر,ما هو الاسم الفرعوني لمدينة عين شمس؟,أون
691,مصر,من هو مهندس تمثال نهضة مصر؟,محمود مختار
692,مصر,ما هي المحافظة التي يوجد بها معبد فيلة؟,أسوان
693,مصر,أين يقع قصر المنتزه؟,الإسكندرية
694,مصر,"من هو الممثل الملقب بـ ""فتى الشاشة الأول"" قديماً؟","أنور وجدي / رشدي أباظة (حسب السياق، لكن أنور وجدي لقب بذلك)"
695,مصر,ما هو الحي الذي يوجد به مسجد السيدة عائشة؟,حي الخليفة
696,مصر,متى تم افتتاح قناة السويس القديمة؟,1869م
